"OTU_ID","kingdom","phylum","class","order","family","genus"
"OTU17851"," Fungi "," Ascomycota "," Archaeorhizomycetes "," Archaeorhizomycetales "," Archaeorhizomycetaceae "," Archaeorhizomyces "
"OTU17856","",NA,NA,NA,NA,NA
"OTU17855"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17857","",NA,NA,NA,NA,NA
"OTU17858"," Fungi "," Basidiomycota "," Agaricomycetes "," Russulales "," Russulaceae "," Russula "
"OTU17859"," Fungi "," Basidiomycota "," Agaricomycetes "," Russulales "," Russulaceae "," Russula "
"OTU17860"," Fungi "," Basidiomycota "," Agaricomycetes "," Russulales "," Russulaceae "," Russula "
"OTU17861"," Fungi "," Basidiomycota "," Agaricomycetes "," Russulales "," Russulaceae "," Russula "
"OTU17862"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17852"," Fungi "," Basidiomycota "," Agaricomycetes "," Agaricales "," Tricholomataceae "," Delicatula "
"OTU17863"," Fungi "," Ascomycota "," Sordariomycetes "," Xylariales "," unidentified "," unidentified "
"OTU17853"," Fungi "," Basidiomycota "," Agaricomycetes "," Agaricales "," Tricholomataceae "," Delicatula "
"OTU17854"," Fungi "," Basidiomycota "," Agaricomycetes "," Agaricales "," Hydnangiaceae "," Laccaria "
"OTU17864"," Fungi "," Ascomycota "," Leotiomycetes "," unidentified "," unidentified "," unidentified "
"OTU17866"," Fungi "," Ascomycota "," Leotiomycetes "," Helotiales "," unidentified "," unidentified "
"OTU17867","",NA,NA,NA,NA,NA
"OTU17865"," Fungi "," Ascomycota "," Sordariomycetes "," Xylariales "," Xylariales_fam_Incertae_sedis "," Cryptostroma "
"OTU17868"," Fungi "," Basidiomycota "," Agaricomycetes "," Agaricales "," Inocybaceae "," Inocybe "
"OTU17869"," Fungi "," Ascomycota "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17870"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17873"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17874"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," Herpotrichiellaceae "," unidentified "
"OTU17875"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," Herpotrichiellaceae "," unidentified "
"OTU17871"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17876"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," Herpotrichiellaceae "," unidentified "
"OTU17877"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," Herpotrichiellaceae "," unidentified "
"OTU17872"," Fungi "," Ascomycota "," Leotiomycetes "," Helotiales "," unidentified "," unidentified "
"OTU17878"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," unidentified "," unidentified "
"OTU17881"," Fungi "," Ascomycota "," Pezizomycetes "," Pezizales "," Ascobolaceae "," Ascobolus "
"OTU17883"," Fungi "," Ascomycota "," Eurotiomycetes "," unidentified "," unidentified "," unidentified "
"OTU17880"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," unidentified "," unidentified "
"OTU17882"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," unidentified "," unidentified "
"OTU17886","",NA,NA,NA,NA,NA
"OTU17885"," Fungi "," Basidiomycota "," Agaricomycetes "," GS28 "," unidentified "," unidentified "
"OTU17879"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Didymellaceae "," Phoma "
"OTU17884"," Fungi "," Ascomycota "," Leotiomycetes "," Helotiales "," Helotiaceae "," Tympanis "
"OTU17889"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
